iter	Passed	Remaining
0	41	41509
1	82	40968
2	119	39754
3	160	39890
4	196	39073
5	234	38897
6	273	38867
7	311	38666
8	349	38503
9	389	38606
10	431	38788
11	470	38763
12	507	38503
13	545	38414
14	588	38669
15	627	38561
16	663	38385
17	705	38470
18	743	38384
19	781	38296
20	822	38342
21	854	37982
22	891	37879
23	929	37806
24	969	37809
25	1007	37758
26	1045	37690
27	1085	37686
28	1123	37634
29	1165	37688
30	1203	37613
31	1240	37529
32	1281	37552
33	1319	37486
34	1358	37460
35	1400	37504
36	1438	37449
37	1476	37380
38	1518	37424
39	1559	37424
40	1599	37401
41	1636	37322
42	1674	37269
43	1715	37281
44	1752	37190
45	1790	37124
46	1832	37162
47	1869	37075
48	1907	37016
49	1945	36962
50	1983	36902
51	2021	36851
52	2061	36840
53	2101	36821
54	2144	36849
55	2182	36794
56	2223	36783
57	2263	36754
58	2302	36721
59	2342	36697
60	2378	36620
61	2417	36576
62	2458	36566
63	2475	36198
64	2513	36153
65	2534	35870
66	2575	35865
67	2613	35816
68	2649	35754
69	2678	35581
70	2714	35522
71	2751	35458
72	2793	35474
73	2832	35446
74	2872	35429
75	2893	35178
76	2930	35125
77	2971	35128
78	3008	35076
79	3041	34978
80	3079	34933
81	3119	34922
82	3157	34889
83	3194	34837
84	3234	34822
85	3272	34779
86	3310	34741
87	3349	34714
88	3388	34683
89	3426	34649
90	3466	34631
91	3515	34693
92	3555	34673
93	3596	34666
94	3639	34668
95	3689	34746
96	3729	34718
97	3765	34661
98	3803	34616
99	3841	34573
100	3882	34554
101	3918	34498
102	3952	34422
103	3988	34365
104	4031	34360
105	4069	34322
106	4105	34267
107	4145	34236
108	4182	34186
109	4218	34130
110	4254	34072
111	4293	34041
112	4329	33982
113	4365	33930
114	4403	33884
115	4443	33864
116	4481	33823
117	4503	33658
118	4539	33606
119	4575	33554
120	4615	33529
121	4628	33310
122	4665	33268
123	4677	33043
124	4713	32996
125	4751	32957
126	4789	32925
127	4829	32899
128	4868	32870
129	4909	32854
130	4925	32673
131	4963	32639
132	5001	32600
133	5038	32559
134	5078	32540
135	5115	32498
136	5151	32452
137	5193	32440
138	5231	32406
139	5269	32369
140	5307	32336
141	5346	32305
142	5384	32268
143	5424	32248
144	5464	32223
145	5506	32207
146	5543	32168
147	5559	32007
148	5603	32001
149	5643	31981
150	5686	31974
151	5724	31934
152	5763	31904
153	5802	31877
154	5844	31859
155	5883	31829
156	5924	31811
157	5944	31681
158	5983	31648
159	6024	31630
160	6064	31600
161	6108	31599
162	6147	31568
163	6191	31559
164	6231	31537
165	6274	31523
166	6311	31482
167	6349	31445
168	6391	31430
169	6430	31397
170	6470	31369
171	6507	31328
172	6546	31292
173	6586	31266
174	6625	31235
175	6662	31194
176	6704	31172
177	6741	31133
178	6779	31092
179	6834	31133
180	6871	31094
181	6908	31050
182	6944	31004
183	6985	30981
184	7024	30944
185	7061	30905
186	7107	30901
187	7153	30896
188	7193	30865
189	7234	30839
190	7267	30783
191	7305	30745
192	7349	30730
193	7390	30706
194	7432	30681
195	7471	30649
196	7515	30635
197	7554	30598
198	7599	30588
199	7638	30554
200	7675	30510
201	7715	30479
202	7752	30436
203	7787	30388
204	7895	30618
205	7938	30599
206	7979	30569
207	8017	30526
208	8053	30478
209	8089	30432
210	8128	30396
211	8164	30347
212	8200	30300
213	8237	30255
214	8278	30226
215	8316	30186
216	8353	30143
217	8394	30112
218	8432	30072
219	8469	30027
220	8512	30007
221	8550	29964
222	8587	29919
223	8623	29875
